fullspp,habitat,reef,seagrass,sand,pelagic,ref_1,ref_2
Monacanthidae.Scobinichthys.granulatus,"reef, seagrass",TRUE,TRUE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/825,https://www.fishbase.se/summary/Scobinichthys-granulatus.html
Mullidae.Upeneichthys.spp,sand,FALSE,FALSE,TRUE,FALSE,SIMILAR SPP,
Mullidae.Upeneichthys.stotti,?,FALSE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/1193#classification,https://www.fishbase.se/summary/Upeneichthys-stotti.html
Mullidae.Upeneichthys.vlamingii,sand,FALSE,FALSE,TRUE,FALSE,https://fishesofaustralia.net.au/home/species/596,https://www.fishbase.se/summary/upeneichthys-vlamingii
Muraenidae.Gymnothorax.prasinus,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/3815,https://www.fishbase.se/summary/10146
Muraenidae.Gymnothorax.woodwardi,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/3557,https://www.fishbase.se/summary/Gymnothorax-woodwardi
Myliobatidae.Myliobatis.tenuicaudatus,"reef, sand, seagrass",TRUE,TRUE,TRUE,FALSE,https://fishesofaustralia.net.au/home/species/3545,https://www.fishbase.se/summary/myliobatis-tenuicaudatus
Nemipteridae.Pentapodus.vitta,"reef, seagrass",TRUE,TRUE,FALSE,FALSE,,https://fishbase.se/summary/Pentapodus-vitta
Neosebastidae.Neosebastes.bougainvillii,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/3227,https://fishbase.se/summary/Neosebastes-bougainvillii.html
Neosebastidae.Neosebastes.pandus,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/3226#classification,https://www.fishbase.se/summary/neosebastes-pandus
Octopodidae..spp,,FALSE,FALSE,FALSE,FALSE,,
Oneirodidae.Oneirodes.sp1,?,FALSE,FALSE,FALSE,FALSE,,https://www.fishbase.se/summary/FamilySummary.php?ID=199
Orectolobidae.Orectolobus.halei,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/3268,https://www.fishbase.se/summary/Orectolobus-halei.html
Orectolobidae.Orectolobus.hutchinsi,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/3269,https://www.fishbase.se/summary/63346
Orectolobidae.Orectolobus.spp,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/1975,
Paralichthyidae.Pseudorhombus.jenynsii,sand,FALSE,FALSE,TRUE,FALSE,https://fishesofaustralia.net.au/home/species/4709,https://www.fishbase.se/summary/Pseudorhombus_jenynsii.html
Paralichthyidae.Pseudorhombus.spp,sand,FALSE,FALSE,TRUE,FALSE,SIMILAR SPP,
Parascylliidae.Parascyllium.variolatum,reef,TRUE,FALSE,FALSE,FALSE,https://fishesofaustralia.net.au/home/species/1977,https://www.fishbase.se/summary/Parascyllium-variolatum
Pempherididae..spp,reef,TRUE,FALSE,FALSE,FALSE,SIMILAR SPP,
Pempherididae.Parapriacanthus.elongatus,reef,TRUE,FALSE,FALSE,FALSE,,https://www.fishbase.se/summary/Parapriacanthus-elongatus
