OpCode	x.2.x	x.3.x	Relief0	Relief1	Relief2	Relief3	Relief4	x.2.y	x.3.y	fieldofview.Limited	fieldofview.Open	x.2	x.3	Consolidated	Macroalgae	Seagrasses	Stony.corals	Unconsolidated
816	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
823	NA	NA	0	0	5	0	0	NA	NA	0	20	NA	NA	0	0	5	0	0
826	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
828	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
832	NA	NA	0	5	5	0	0	NA	NA	0	20	NA	NA	0	0	5	0	5
839	NA	NA	0	0	9	0	0	NA	NA	0	20	NA	NA	0	0	9	0	0
842	NA	NA	0	3	5	0	0	NA	NA	0	20	NA	NA	0	5	0	0	3
843	NA	NA	0	0	9	0	0	NA	NA	0	20	NA	NA	0	0	9	0	0
848	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	5	5	0	0
855	NA	NA	0	0	9	0	0	NA	NA	0	20	NA	NA	0	5	4	0	0
858	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
864	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
879	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
880	NA	NA	0	0	9	0	0	NA	NA	0	19	NA	NA	0	0	9	0	0
1038	NA	NA	0	0	8	0	0	NA	NA	0	20	NA	NA	0	0	8	0	0
1108	NA	NA	0	2	11	0	0	NA	NA	0	20	NA	NA	0	0	11	0	2
10000	NA	NA	0	0	10	0	0	NA	NA	2	18	NA	NA	0	0	0	0	10
10001	NA	NA	0	0	10	0	0	NA	NA	2	18	NA	NA	0	0	2	0	8
10002	NA	NA	0	0	5	0	0	NA	NA	2	17	NA	NA	0	0	0	0	5
10003	NA	NA	0	0	10	0	0	NA	NA	1	19	NA	NA	0	0	0	0	10
10004	NA	NA	0	0	5	0	0	NA	NA	0	20	NA	NA	0	0	2	0	3
10005	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	4	0	0	6
11R1	NA	NA	0	10	0	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
11R2	NA	NA	0	0	6	0	0	NA	NA	0	19	NA	NA	0	0	6	0	0
11R3	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	2	8	0	0
11R4	NA	NA	0	0	0	9	0	NA	NA	0	20	NA	NA	0	9	0	0	0
12RC1	NA	NA	0	0	4	0	14	NA	NA	3	17	NA	NA	14	0	0	0	4
12RC2	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
12RC3	NA	NA	0	0	2	0	0	NA	NA	0	20	NA	NA	0	2	0	0	0
12RC5	NA	NA	0	0	6	0	0	NA	NA	0	20	NA	NA	0	6	0	0	0
12RC6	NA	NA	0	0	7	0	0	NA	NA	0	20	NA	NA	0	7	0	0	0
12RC7	NA	NA	0	0	0	14	0	NA	NA	0	20	NA	NA	0	14	0	0	0
12RC8	NA	NA	0	0	0	20	0	NA	NA	0	20	NA	NA	0	20	0	0	0
12RC9	NA	NA	0	0	0	14	0	NA	NA	8	12	NA	NA	0	14	0	0	0
13RC1	NA	NA	0	0	0	10	0	NA	NA	0	20	NA	NA	0	10	0	0	0
13RC11	NA	NA	0	3	5	0	0	NA	NA	0	20	NA	NA	0	0	5	0	3
13RC12	NA	NA	0	0	5	0	0	NA	NA	0	20	NA	NA	0	0	5	0	0
13RC13	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
13RC15	NA	NA	0	0	4	0	0	NA	NA	0	20	NA	NA	0	0	4	0	0
13RC2	NA	NA	0	0	0	18	0	NA	NA	0	20	NA	NA	0	18	0	0	0
13RC3	NA	NA	0	0	0	11	0	NA	NA	3	17	NA	NA	0	11	0	0	0
13RC4	NA	NA	0	0	9	0	0	NA	NA	0	20	NA	NA	0	0	9	0	0
13RC5	NA	NA	0	9	6	0	0	NA	NA	0	20	NA	NA	0	0	6	0	9
13RC6	NA	NA	0	0	7	0	0	NA	NA	0	20	NA	NA	0	0	1	0	6
13RC7	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
13RC8	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	0	0	10
13RC9	NA	NA	0	6	4	0	0	NA	NA	2	18	NA	NA	0	2	2	0	6
GBR1-1	NA	NA	0	0	5	0	0	NA	NA	0	20	NA	NA	0	0	5	0	0
GBR1-2	NA	NA	0	0	0	14	0	NA	NA	0	20	NA	NA	0	14	0	0	0
GBR1-3	NA	NA	0	0	10	0	0	NA	NA	0	20	NA	NA	0	0	10	0	0
