OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
CF1-4	23	0	1033.71587	598.03279	1078.23985	604.14754
CF1-4	23	1	840.35793	577.96721	891.67159	585.26230
CF1-4	24	0	560.88561	965.50820	103.91144	1026.88525
CF1-4	25	0	1400.47232	863.01639	509.78229	822.49180
CF1-4	25	1	1141.57934	794.85246	198.04797	811.27869
CF1-4	26	0	708.17343	338.85246	249.44649	355.81967
CF1-4	26	1	554.37269	333.54098	33.94834	342.54098
CF1-4	27	0	1597.11808	588.55738	1620.19557	603.22951
CF1-4	27	1	1683.02214	601.24590	1723.81181	614.73770
CF1-4	28	0	1324.28782	888.54098	669.03321	859.45902
CF1-4	28	1	1187.90406	869.36066	533.53506	862.40984
CF1-4	29	0	1024.94465	979.67213	632.91513	969.04918
CF1-4	29	1	1232.76753	1004.45902	830.11070	964.32787
CF1-4	30	0	862.26568	776.63934	420.19926	765.75410
CF1-4	30	1	701.97048	727.95082	236.28782	716.77049
CF1-4	31	0	872.69373	786.86885	422.42804	776.31148
CF1-4	31	1	709.15129	743.49180	235.26937	731.45902
CF2-1	0	0	1219.13284	380.36066	1049.36162	389.13115
CF2-1	0	1	1336.03321	408.09836	1146.18819	417.16393
CF2-1	1	0	1732.84133	539.47541	1626.27306	543.68852
CF2-1	1	1	1591.14391	543.60656	1515.27675	554.31148
CF2-1	2	0	1450.61624	382.75410	1347.10701	385.29508
CF2-1	2	1	1558.95572	412.55738	1448.06642	417.45902
CF2-1	3	0	1718.05535	603.21311	1537.35793	611.60656
CF2-1	3	1	1631.56089	596.72131	1472.11808	608.06557
CF2-1	4	0	960.09963	371.27869	552.73063	379.86885
CF2-1	4	1	921.72325	365.96721	521.73432	377.50820
CF2-1	5	0	1500.97417	518.03279	1340.67159	524.75410
CF2-1	5	1	1562.08118	510.65574	1400.59779	525.93443
CF2-1	6	0	1718.83395	491.77049	1637.49077	497.08197
CF2-1	6	1	1657.43173	469.04918	1570.18450	470.22951
CF2-1	7	0	1461.84502	644.45902	355.42435	682.22951
CF2-1	8	0	1500.01107	601.75410	1357.17343	613.42623
CF2-1	8	1	1566.72694	584.93443	1423.88930	594.83607
CF2-1	9	0	1477.24354	603.70492	1330.31365	613.44262
CF2-1	9	1	1547.20664	590.72131	1406.18081	599.86885
CF2-1	10	0	1682.06642	634.75410	1479.61993	644.95082
CF2-1	10	1	1741.69742	617.63934	1557.25830	625.77049
CF2-1	11	0	1343.42804	588.78689	1178.69004	596.49180
CF2-1	11	1	1409.55351	582.88525	1233.00738	593.24590
