"","longitude_dd","latitude_dd","sample_url","sample","date_time","depth_m","status","site","location","annotation_parameters","observer_count","observer_length","observer_habitat_downward","observer_habitat_forward","observer_habitat_backward","observer_habitat_panoramic","successful_count","successful_length","successful_habitat_downward","successful_habitat_forward","successful_habitat_backward","successful_habitat_panoramic","map_marker_colour_rgb","synthesis","campaignid","derived_from_sample"
"42",115.0728279,-34.36202017,"https://dev.globalarchive.org/api/data/SynthesisSample/1739631/?format=feather","CL2_2",2019-02-13,25,"Fished","Cl2","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/457/?format=feather","https://dev.globalarchive.org/api/data/Annotator/457/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
"43",115.0759185,-34.36374491,"https://dev.globalarchive.org/api/data/SynthesisSample/1739632/?format=feather","CL2_3",2019-02-13,24,"Fished","Cl2","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/457/?format=feather","https://dev.globalarchive.org/api/data/Annotator/457/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
"44",115.0701073,-34.36356529,"https://dev.globalarchive.org/api/data/SynthesisSample/1739633/?format=feather","CL2_4",2019-02-13,30,"Fished","Cl2","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/457/?format=feather","https://dev.globalarchive.org/api/data/Annotator/457/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
"45",115.0706514,-34.36622428,"https://dev.globalarchive.org/api/data/SynthesisSample/1739634/?format=feather","CL2_5",2019-02-13,30,"Fished","Cl2","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/457/?format=feather","https://dev.globalarchive.org/api/data/Annotator/457/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
"46",115.0884997,-34.37871994,"https://dev.globalarchive.org/api/data/SynthesisSample/1739635/?format=feather","CL3_1",2019-02-13 02:00:00,28.1,"No-Take","Cl3","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/456/?format=feather","https://dev.globalarchive.org/api/data/Annotator/456/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
"47",115.085686,-34.37791997,"https://dev.globalarchive.org/api/data/SynthesisSample/1739636/?format=feather","CL3_2",2019-02-13 02:00:00,27.4,"No-Take","Cl3","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/457/?format=feather","https://dev.globalarchive.org/api/data/Annotator/457/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
"48",115.0859799,-34.38023765,"https://dev.globalarchive.org/api/data/SynthesisSample/1739637/?format=feather","CL3_3",2019-02-13 02:00:00,28.8,"No-Take","Cl3","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/457/?format=feather","https://dev.globalarchive.org/api/data/Annotator/457/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
"49",115.0899146,-34.37651013,"https://dev.globalarchive.org/api/data/SynthesisSample/1739638/?format=feather","CL3_5",2019-02-13 02:00:00,27,"No-Take","Cl3","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/457/?format=feather","https://dev.globalarchive.org/api/data/Annotator/457/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
"50",115.0989154,-34.38603633,"https://dev.globalarchive.org/api/data/SynthesisSample/1739639/?format=feather","CL4_1",2019-02-13 02:00:00,29,"No-Take","Cl4","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/457/?format=feather","https://dev.globalarchive.org/api/data/Annotator/457/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
"51",115.0994716,-34.38342679,"https://dev.globalarchive.org/api/data/SynthesisSample/1739640/?format=feather","CL4_2",2019-02-13 02:00:00,28,"No-Take","Cl4","Ngari Capes",NA,"https://dev.globalarchive.org/api/data/Annotator/457/?format=feather","https://dev.globalarchive.org/api/data/Annotator/457/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#6262e0","https://dev.globalarchive.org/api/data/Synthesis/57/?format=feather","2019-02_NgariCapes_stereoBRUVs",NA
